Supplement,Overview,SideEffects,Precautions,Dosing
Abscess Root,"abscess root (polemonium reptans) is an herb. the root is ground and used as a medicinal tea  but it's not clear if it has any benefits.  abscess root is used for fever  cough  swelling  and other conditions. but there is no good scientific evidence to support any uses.  abscess root is also called ""false jacob's ladder "" because it has some of the same effects as another plant called jacob's ladder. these two plants are used in similar ways  but are not the same.",when taken by mouth: there isn't enough reliable information to know if abscess root is safe. it might cause side effects such as stomach upset and sneezing.,when taken by mouth: there isn't enough reliable information to know if abscess root is safe. it might cause side effects such as stomach upset and sneezing. pregnancy and breast-feeding: there isn't enough reliable information to know if abscess root is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,ground abscess root is traditionally used to make a tea  but there isn't enough reliable information to know what an appropriate dose might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Abuta,abuta (cissampelos pareira) is a climbing plant that grows in tropical regions worldwide. its bark  root  seed  and other parts are used as medicine.  abuta contains chemicals that may relax muscles and reduce pain.  people use abuta for stomach pain  migraine  joint pain  wound healing  and many other conditions  but there is no good scientific evidence to support these uses.  don't confuse abuta with pareira. these are not the same.,when taken by mouth: there isn't enough reliable information to know if abuta is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if abuta is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if abuta is safe or what the side effects might be.  when applied to the skin: there isn't enough reliable information to know if abuta is safe or what the side effects might be. pregnancy and breast-feeding: there isn't enough reliable information to know if abuta is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,there isn't enough reliable information to know what an appropriate dose of abuta might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Acacia Rigidula,acacia rigidula is a shrub found in texas and mexico. it contains chemicals with stimulant effects and is used in some weight loss and sports supplements.  stimulants in acacia rigidula can affect the heart and may be unsafe. many acacia rigidula supplements have been shown to contain large amounts phenethylamine. phenethylamine is found in acacia rigidula naturally  but the amounts found in supplements is often greater than would be expected.  people use acacia rigidula for athletic performance  obesity  and many other conditions  but there is no good scientific evidence to support these uses.  many supplements listing acacia rigidula have been found to contain an amphetamine-like chemical called called beta-methylphenethylamine (bmpea). it is not found naturally in acacia rigidula or any other known plants. any dietary supplement products containing bmpea are considered misbranded by the us fda. see separate listings for more details on phenethylamine and bmpea.,when taken by mouth: acacia rigidula is possibly unsafe. there have been several reports of increased heart rate and heart palpitations in people taking products containing acacia rigidula. there is one reported case of cardiac arrest. it's unclear if these side effects were caused by acacia rigidula or other stimulants in these products.,when taken by mouth: acacia rigidula is possibly unsafe. there have been several reports of increased heart rate and heart palpitations in people taking products containing acacia rigidula. there is one reported case of cardiac arrest. it's unclear if these side effects were caused by acacia rigidula or other stimulants in these products.  pregnancy and breast-feeding: there isn't enough reliable information to know if acacia rigidula is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  high blood pressure: some chemicals in acacia rigidula have stimulant effects. many products that list acacia rigidula as an ingredient have been found to contain a chemical called beta-methylphenethylamine (bmpea). bmpea and other stimulants can increase blood pressure and heart rate. taking acacia rigidula supplements might make high blood pressure worse.  surgery: some chemicals in acacia rigidula have stimulant effects. many products that list acacia rigidula as an ingredient have been found to contain a chemical called beta-methylphenethylamine (bmpea). bmpea and other stimulants can increase blood pressure and heart rate. taking acacia rigidula supplements might interfere with surgery by increasing blood pressure and heart rate. stop taking acacia rigidula supplements at least 2 weeks before surgery.,there isn't enough reliable information to know what an appropriate dose of acacia rigidula might be. it might also be unsafe. many products that list acacia rigidula as an ingredient have been found to contain an amphetamine-like chemical called beta-methylphenethylamine (bmpea). speak with a healthcare provider before use.
Acai,acai (euterpe oleracea)  pronounced ah-sigh-ee  is a palm tree found throughout south america. its berries are dark purple and used to make medicine.  acai contains antioxidants which are thought to protect cells from damage. acai berries are believed to have more antioxidant content than cranberry  raspberry  blackberry  strawberry  or blueberry. chemicals in acai might also reduce swelling  lower blood sugar levels  and stimulate the immune system.  people commonly use acai for athletic performance  high cholesterol  erectile dysfunction (ed)  obesity  aging skin  metabolic syndrome  and many other conditions. but there is no good scientific evidence to support these uses.,when taken by mouth: acai is possibly safe when used for up to 3 months. it's usually well-tolerated. but be aware that raw acai juice can be contaminated with parasites. in rare cases  drinking the raw juice has been linked to outbreaks of a disease called american trypanosomiasis or chagas disease.,when taken by mouth: acai is possibly safe when used for up to 3 months. it's usually well-tolerated. but be aware that raw acai juice can be contaminated with parasites. in rare cases  drinking the raw juice has been linked to outbreaks of a disease called american trypanosomiasis or chagas disease. pregnancy and breast-feeding: there isn't enough reliable information to know if acai is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  diabetes: acai might increase or decrease blood sugar by a small amount  but this probably isn't a big concern for most people.,as a food  the acai berry is eaten raw and as a juice. the juice is also used in beverages and in ice cream  jelly  and liqueurs.  in supplements  there isn't enough reliable information to know what an appropriate dose of acai might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Acerola,acerola (malpighia emarginata) is a shrub or small tree. its fruit is similar to a cherry and is a red color when ripe. it is a rich source of vitamin c.  acerola also contains many minerals and other vitamins  including beta-carotene  lutein  thiamine  riboflavin  niacin  pyridoxine  folic acid  and pantothenic acid. it's native to central america  northern south america  mexico  and the caribbean.  acerola is commonly used to prevent vitamin c deficiency. it is also used for the common cold  diarrhea  and other conditions  but there is no good scientific evidence to support these other uses.,when taken by mouth: acerola fruit is possibly safe for most adults. the fruit contains a large amount of vitamin c. it should be taken in amounts that provide no more than 2000 mg of vitamin c daily. higher doses can increase the risk of side effects such as severe diarrhea.,when taken by mouth: acerola fruit is possibly safe for most adults. the fruit contains a large amount of vitamin c. it should be taken in amounts that provide no more than 2000 mg of vitamin c daily. higher doses can increase the risk of side effects such as severe diarrhea. pregnancy and breast-feeding: there isn't enough reliable information to know if acerola is safe to use in medicinal amounts when pregnant or breast-feeding. stay on the safe side and avoid use in amounts greater than those found in food.  kidney stones (nephrolithiasis): in large doses  acerola might increase the chance of getting kidney stones. this is due to the vitamin c in acerola.  latex allergy: people with latex allergy might also have an allergic reaction to acerola.,there isn't enough reliable information to know what an appropriate dose of acerola might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
Acetyl-L-Carnitine,acetyl-l-carnitine is made from l-carnitine in the body. l-carnitine and acetyl-l-carnitine are used to help the body turn fat into energy.  acetyl-l-carnitine is important for many body processes. l-carnitine is made in the human brain  liver  and kidneys. the body can convert l-carnitine to acetyl-l-carnitine and vice versa. it's not clear if the effects of acetyl-l-carnitine are from the chemical itself  from the l-carnitine it can make  or from some other chemical.  acetyl-l-carnitine is sometimes used for alzheimer disease  improving memory and thinking skills  treating symptoms of depression  and reducing nerve pain in people with diabetes. it is used for many other conditions  but there is no good scientific evidence to support many of these uses.,"when taken by mouth: acetyl-l-carnitine is likely safe for most people. it can cause some side effects including stomach upset  nausea  vomiting  dry mouth  headache  and restlessness. it can also cause a ""fishy"" odor of the urine  breath  and sweat.","when taken by mouth: acetyl-l-carnitine is likely safe for most people. it can cause some side effects including stomach upset  nausea  vomiting  dry mouth  headache  and restlessness. it can also cause a ""fishy"" odor of the urine  breath  and sweat. pregnancy and breast-feeding: there isn't enough reliable information to know if acetyl-l-carnitine is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  children: acetyl-l-carnitine is possibly safe for most children when taken by mouth.  bipolar disorder: acetyl-l-carnitine might worsen symptoms in people with bipolar disorder who are currently in remission.  nerve damage in the hands and feet caused by cancer drug treatment: acetyl-l-carnitine might worsen symptoms in some people with nerve pain caused by a class of chemotherapy drugs known as taxanes.  underactive thyroid (hypothyroidism): there is some concern that acetyl-l-carnitine might interfere with thyroid hormone. don't use acetyl-l-carnitine if you have an under-active thyroid.  seizures: l-carnitine seems to make seizures more likely in people who have had seizures before. since l-carnitine is related to acetyl-l-carnitine  there is a concern that this might also occur with acetyl-l-carnitine. if you have ever had a seizure  don't take acetyl-l-carnitine.",acetyl-l-carnitine has most often been used by adults in doses of 1.5-3 grams by mouth daily  for up to 33 months. speak with a healthcare provider to find out what dose might be best for a specific condition.
Ackee,ackee (blighia sapida) is an evergreen tree that makes fruit. ripe ackee fruit is commonly eaten as food in jamaica. unripe ackee fruit is poisonous.  the ripe ackee fruit contains fatty acids. the unripe ackee fruit contains poisonous chemicals that can cause dangerously low blood sugar  liver damage  and death. most ackee products have been banned from import into the us due to concerns about poisoning from the unripe fruit.  people use ackee for many conditions  but there is no good scientific evidence to support any use. eating unripe ackee fruit is unsafe.,when taken by mouth: the ripe ackee fruit is commonly eaten as a food. it's usually well-tolerated. but consuming the unripe ackee fruit is unsafe  even if it has been cooked. the unripe fruit contains poisonous chemicals that can cause dangerously low blood sugar  liver damage  severe vomiting  and death.,when taken by mouth: the ripe ackee fruit is commonly eaten as a food. it's usually well-tolerated. but consuming the unripe ackee fruit is unsafe  even if it has been cooked. the unripe fruit contains poisonous chemicals that can cause dangerously low blood sugar  liver damage  severe vomiting  and death.  pregnancy and breast-feeding: unripe ackee fruit is unsafe when consumed while pregnant or breast-feeding. there isn't enough reliable information to know if the ripe ackee fruit is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.  children: it is unsafe for children to consume unripe ackee fruit. children are more sensitive to the toxic effects of ackee than adults. there isn't enough reliable information to know whether the ripe fruit is safe for children to eat.,the ripe ackee fruit is commonly eaten as food in jamaica. as medicine  there isn't enough reliable information to know what an appropriate dose of ackee might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.  the unripe ackee fruit contains poisonous chemicals and is unsafe. avoid use.
Aconite,"aconite is a plant in the aconitum genus that grows in rocky areas in the northern hemisphere. despite containing poisonous chemicals  it's used as medicine.  aconite root contains chemicals that might improve circulation and decrease pain  but it also contains chemicals that can seriously harm the heart  muscles  and nerves.  people use aconite for heart failure  asthma  hair loss  diarrhea  and many other conditions  but there is no good scientific evidence to support these uses. it is also unsafe.  don't confuse aconite with dimethylhexylamine (dmha)  which is sometimes incorrectly called ""aconitum kusnezoffi"" or ""aconite extract."" these are not the same.",when taken by mouth: aconite is unsafe. all species of the plant and products containing it are dangerous. aconite contains a strong  fast-acting poison that causes severe side effects such as nausea  vomiting  breathing problems  heart problems  and death.  when applied to the skin: aconite is unsafe. some people use aconite in a cream or lotion  but this is dangerous. the poisons in aconite can be absorbed through the skin  causing severe side effects.,when taken by mouth: aconite is unsafe. all species of the plant and products containing it are dangerous. aconite contains a strong  fast-acting poison that causes severe side effects such as nausea  vomiting  breathing problems  heart problems  and death.  when applied to the skin: aconite is unsafe. some people use aconite in a cream or lotion  but this is dangerous. the poisons in aconite can be absorbed through the skin  causing severe side effects.  pregnancy and breast-feeding: aconite is unsafe. do not take aconite by mouth or apply it to your skin if you are pregnant or breast-feeding. it can cause serious side effects  including death.,there isn't enough reliable information to know what an appropriate dose of aconite might be. aconite might also be unsafe. speak with a healthcare provider before using.
Activated Charcoal,activated charcoal has pores that can trap chemicals. it is typically taken by mouth as a treatment for some swallowed poisons. there is little evidence for other uses.  charcoal is made from peat  coal  wood  coconut shell  or petroleum. activated charcoal is made by heating charcoal in the presence of a gas. this process causes the charcoal to develop lots of internal spaces or pores. these pores help activated charcoal trap chemicals.  activated charcoal is commonly used to treat poisoning. it is also used for high cholesterol  hangovers  and upset stomach  but there is no strong scientific evidence to support most of these uses.,when taken by mouth: activated charcoal is likely safe when used short-term. taking activated charcoal long-term is possibly safe. common side effects include constipation and black stools.  when applied to the skin: activated charcoal is likely safe for most adults when applied to wounds.,when taken by mouth: activated charcoal is likely safe when used short-term. taking activated charcoal long-term is possibly safe. common side effects include constipation and black stools.  when applied to the skin: activated charcoal is likely safe for most adults when applied to wounds. pregnancy and breast-feeding: activated charcoal is possibly safe when used short-term when pregnant or breast-feeding. consult with your healthcare provider before using it.  gastrointestinal (gi) blockage or slow movement of food through the intestine: don't use activated charcoal if you have any kind of intestinal blockage. also  if you have a condition that slows the passage of food through the intestine  speak with a healthcare professional before using activated charcoal.,in foods  activated charcoal is increasingly used as a black food coloring.  as medicine  activated charcoal has most often been used under the supervision of a healthcare professional in a single dose of 100 grams by mouth. it's also used in wound dressings. speak with a healthcare provider to find out what type of product and dose might be best for a specific condition.
Adenosine,adenosine is a chemical found in human cells. there are three different forms: adenosine  adenosine monophosphate (amp)  and adenosine triphosphate (atp).  adenosine blocks electrical signals in the heart that cause irregular heart rhythms. atp might also prevent changes in energy metabolism that cause weight loss in people with advanced cancer.  an injectable form of adenosine is a us fda-approved prescription drug for a condition involving rapid heart rate (paroxysmal supraventricular tachycardia). it is also used as a prescription drug to help measure blockages in the arteries of the heart. people also use adenosine  amp  and atp as supplements for athletic performance  cold sores  and many other purposes  but there is no good evidence to support these uses.,when taken by mouth: there isn't enough reliable information to know if adenosine is safe or what the side effects might be.,when taken by mouth: there isn't enough reliable information to know if adenosine is safe or what the side effects might be.  pregnancy and breast-feeding: there isn't enough reliable information to know if adenosine is safe to use when pregnant or breast-feeding. stay on the safe side and avoid use.,adenosine is available as a prescription-only iv medicine approved for certain conditions. when used as a supplement  there isn't enough reliable information to know what an appropriate dose of adenosine might be. keep in mind that natural products are not always necessarily safe and dosages can be important. be sure to follow relevant directions on product labels and consult a healthcare professional before using.
