Supplement,Effectiveness,Description
Abscess Root,,
Abuta,,
Acacia Rigidula,,
Acai,,
Acerola,Possibly Effective for,Vitamin C deficiency. Acerola is a rich source of vitamin C. Taking acerola by mouth might help prevent or treat vitamin C deficiency.
Acetyl-L-Carnitine,Possibly Effective for,"Decline in memory and thinking skills that occurs normally with age. Taking acetyl-L-carnitine by mouth might improve memory and mental function in older people with some memory loss. Tiredness in older adults. Taking acetyl-L-carnitine by mouth might improve mental and physical tiredness in older people. It also seems to reduce tiredness after exercise. Alcohol use disorder. Acetyl-L-carnitine given intravenously (by IV) for 10 days and then taken by mouth for 80 days, helps reduce withdrawal symptoms and cravings during alcohol detox. But it's possible that the benefits are from IV acetyl-L-carnitine only. Alzheimer disease. Taking acetyl-L-carnitine by mouth might slow the rate of disease progression, improve memory, and improve some measures of mental function and behavior in some people with Alzheimer disease. Depression. Taking 1-4 grams of acetyl-L-carnitine by mouth daily seems to improve mood and decrease depression in some people. It seems to work better in older people and when taken in higher amounts. Nerve pain in people with diabetes (diabetic neuropathy). Taking acetyl-L-carnitine by mouth 2-3 grams daily seems to improve symptoms in people with nerve pain caused by diabetes. Conditions in a male that prevent a female partner from getting pregnant (male infertility). Taking acetyl-L-carnitine by mouth along with L-carnitine seems to increase sperm movement, and possibly sperm count, in males with fertility problems. It's not clear if taking acetyl-L-carnitine alone helps or if the chance of pregnancy is improved."
Acetyl-L-Carnitine,Possibly Ineffective for,Nerve damage in the hands and feet caused by cancer drug treatment. Taking acetyl-L-carnitine by mouth might not reduce neuropathy associated with chemotherapy in cancer patients. It might actually make it worse.
Ackee,,
Aconite,,
Activated Charcoal,Possibly Effective for,Poisoning. Taking activated charcoal by mouth is useful for trapping drugs and other types of chemicals to stop poisoning. It should be used under the guidance of a healthcare provider along with standard treatments for poisoning.
Adenosine,Likely Effective for,A heart condition marked by episodes of rapid heart rate (paroxysmal supraventricular tachycardia). Adenosine is a prescription-only IV medicine approved to treat certain kinds of irregular heartbeat. This product can only be given by a healthcare provider. Diagnosing heart disease. Adenosine is a prescription-only IV medicine approved to diagnose coronary artery disease. This product can only be given by a healthcare provider.
Adenosine,Possibly Effective for,"Involuntary weight loss in people who are very ill (cachexia or wasting syndrome). Giving ATP by IV seems to improve appetite, food intake, and quality of life in people with advanced non-small-cell lung cancer and other tumors. IV products can only be given by a healthcare provider."
Adenosine,Possibly Ineffective for,Heart attack. Giving adenosine by IV or injection directly into the heart vessels during procedures for a heart attack doesn't seem to reduce death or serious complications. IV products can only be given by a healthcare provider. Pain after surgery. Giving adenosine by IV after surgery doesn't seem to reduce pain or the use of pain medication. IV products can only be given by a healthcare provider. Nausea and vomiting after surgery. Giving adenosine by IV after surgery doesn't seem to reduce nausea or vomiting. IV products can only be given by a healthcare provider.
Adrafinil,,
Adrenal Extract,,
Adrue,Insufficient Evidence for,Vomiting. Nausea. Colic. Gas. Other conditions.
Aegeline,Insufficient Evidence for,Weight loss. Athletic performance. Increased energy. Other conditions.
African Wild Potato,,
Agar,Insufficient Evidence for,"Diabetes. Early research shows that taking agar gel by mouth daily while following a traditional Japanese diet for 12 weeks doesn't improve pre-meal blood sugar levels or insulin resistance in obese people with type 2 diabetes and impaired glucose tolerance. Yellowing of the skin in infants (neonatal jaundice). While research is mixed, most early research shows that giving agar by mouth for 5 days doesn't reduce bilirubin levels in infants with newborn jaundice. But when given by mouth along with light therapy, agar might increase the bilirubin-lowering effects of light therapy. It might also reduce the length of time that light therapy is needed. Obesity. Early research shows that taking agar gel by mouth daily while following a traditional Japanese diet for 12 weeks reduces body weight by a small amount in obese people with type 2 diabetes and impaired glucose tolerance. Constipation. Other conditions."
Agaricus Mushroom,,
Agave,,
Agmatine,,
Agrimony,Insufficient Evidence for,Diarrhea. Irritable bowel syndrome (IBS). Kidney problems. Liver problems. Sore throat. Upset stomach. Other conditions.
Ajuga Nipponensis,,
Alanine,,
Albizia Julibrissin,Insufficient Evidence for,Anxiety. Cancer. Depression. Insomnia. Sore throat. To improve mood. Trauma. Insect bites. Skin infection (boils and abscesses). Bed sores (pressure ulcers). Fractures. Sprains. Other conditions.
Alchemilla,,
Alder Buckthorn,Possibly Effective for,Constipation. Alder buckthorn contains certain chemicals that work as laxatives. Alder buckthorn seems to relieve constipation about as well as cascara.
Alder Buckthorn,Insufficient Evidence for,Cancer. Other conditions.
Aletris,Insufficient Evidence for,Joint and muscle pain (rheumatism). Constipation. Gas. Colic. Diarrhea. Upset stomach. Menstrual disorders. Other conditions.
Alfalfa,,
Algal Oil,Possibly Effective for,"Preterm birth. In people who get less DHA from their diet, taking DHA-enriched algal oil by mouth during pregnancy seems to lower the risk of having a baby very early."
Algal Oil,Possibly Ineffective for,Memory and thinking skills (cognitive function). Taking DHA-enriched algal oil by mouth doesn't seem to improve cognitive function or reading ability in most children. Cystic fibrosis. Taking DHA-enriched algal oil by mouth doesn't seem to improve symptoms of cystic fibrosis. Fractures. Taking algal oil by mouth doesn't seem to reduce the risk of fractures in older adults. Physical performance in elderly adults. Taking algal oil by mouth doesn't seem to improve muscle strength in older adults.
Algin,Insufficient Evidence for,Lowering cholesterol. Lowering blood pressure. Decreasing the amount of the certain heavy chemicals taken up (absorbed) by the body. Other conditions.
Alkanna,Insufficient Evidence for,"Burns. Early research shows that using an ointment containing alkanna, beeswax, and olive oil may help burns heal faster than using a regular dressing. Wound healing. Early research shows that using an ointment containing 20% alkanna extract helps wounds heal after removal of skin for a skin graft. But it's unclear if the alkanna ointment reduces wound pain or scar formation. Diarrhea. Skin diseases, when applied to the skin. Stomach ulcers. Other conditions."
Allspice,,
Aloe,Possibly Effective for,"Acne. Applying an aloe gel to the skin in the morning and evening, together with a prescription anti-acne medicine, can improve acne in some children and adults. Burns. Applying aloe gel or cream to the skin can reduce healing time in people with first- or second-degree burns. Constipation. Taking aloe latex by mouth can reduce constipation. But it's banned for use as a laxative by the FDA due to safety concerns. Diabetes. Taking aloe by mouth can reduce blood sugar and HbA1c in people with type 2 diabetes. Genital herpes. Applying an aloe extract 0.5% cream three times daily might help heal genital herpes outbreaks. An inflammatory condition that causes rash or sores on the skin or mouth (lichen planus). Using a mouthwash containing aloe gel three times daily for 12 weeks or applying a gel containing aloe twice daily for 8 weeks can reduce pain from itchy rashes in the mouth. Obesity. Taking a specific aloe product (Aloe QDM complex, Univera Inc.) twice daily for 8 weeks might reduce body weight and fat mass in overweight or obese people with diabetes or prediabetes. A painful mouth disease that reduces ones ability to open the mouth (oral submucous fibrosis). Applying aloe gel reduces burning from this condition. But it does not seem to improve the ability to open the mouth or improve cheek and tongue movements. Scaly, itchy skin (psoriasis). Applying a cream containing aloe extract 0.5% for 4 weeks seems to reduce skin plaques. But using an aloe gel doesn't seem to have the same effects. Sores in the mouth from injury or rubbing (traumatic oral ulcers). Applying a gel containing aloe to the gums after getting dental appliances such as braces helps to prevent mouth sores."
Alpha-Gpc,Possibly Effective for,Alzheimer disease. Taking alpha-GPC by mouth seems to help improve memory and thinking skills in people with Alzheimer disease.
Alpha-Ketoglutarate (Akg),Possibly Effective for,Long-term kidney disease (chronic kidney disease or CKD). Taking alpha-ketoglutarate by mouth seems to improve results of certain lab tests used to monitor the effectiveness of hemodialysis in patients receiving this treatment.
Alpha-Linolenic Acid (Ala),Possibly Ineffective for,High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Eating foods or taking supplements high in alpha-linolenic acid does not reduce lipid levels in people with this condition.
Alpha-Lipoic Acid,Possibly Effective for,"Nerve pain in people with diabetes (diabetic neuropathy). Taking 600-1800 mg of alpha-lipoic acid by mouth or by IV seems to improve symptoms such as burning, pain, and numbness in the legs and arms of people with diabetes. Lower doses of alpha-lipoic acid don't seem to work. IV products can only be given by a healthcare provider. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Taking alpha-lipoic acid by mouth for up to 4 years seems to lower total cholesterol and low-density lipoprotein (LDL or ""bad"") cholesterol in people with or without hyperlipidemia. Obesity. Taking alpha-lipoic acid by mouth can slightly reduce body weight in adults who are overweight."
Alpha-Lipoic Acid,Possibly Ineffective for,Liver disease in people who drink alcohol. Taking alpha-lipoic acid by mouth daily for up to 6 months does not improve liver function or reduce liver damage in people with alcohol-related liver disease. Altitude sickness. Taking alpha-lipoic acid by mouth along with vitamin C and vitamin E does not seem to prevent altitude sickness. Kidney damage caused by contrast dyes (contrast induced nephropathy). Taking alpha-lipoic acid by mouth with or without standard hydration therapy during a coronary angiography doesn't seem to prevent kidney damage caused by contrast agents. Diabetes. Taking alpha-lipoic acid by mouth or by IV does not improve blood sugar levels in people with type 2 diabetes. Vision problems in people with diabetes (diabetic retinopathy). Taking alpha-lipoic acid by mouth daily for 24 months doesn't improve eye damage from diabetes. Dementia in people with advanced HIV/AIDS. Taking alpha-lipoic acid by mouth has no effect on thinking problems in people with HIV. High levels of fats called triglycerides in the blood (hypertriglyceridemia). Taking alpha-lipoic acid by mouth doesn't seem to reduce triglyceride levels in most people.
Alpine Ragwort,,
Alpinia,,
Amaranth,Possibly Ineffective for,"High cholesterol. In people with high cholesterol, eating a low-fat diet that includes amaranth oil or muffins enriched with amaranth doesn't seem to lower cholesterol any better than simply following a low-fat diet. In overweight adults, taking amaranth oil daily does not appear to affect good cholesterol levels and may actually increase bad cholesterol levels."
Amaranth,Insufficient Evidence for,Low levels of healthy red blood cells (anemia) due to iron deficiency. Early research in children shows that eating bread made from amaranth grain daily increases healthy red blood cell levels. Stomach ulcers. Early research shows that amaranth oil doesn't help stomach ulcers in people already being treated with medications. Diarrhea. Swollen mouth and throat. Other conditions.
Ambrette,,
American Adder'S Tongue,Insufficient Evidence for,To induce vomiting. Skin softener. Skin ulcers. Other conditions.
American Chestnut,,
American Dogwood,Insufficient Evidence for,"Headaches. Fatigue. Weakness. Fever. Ongoing diarrhea. Loss of appetite. Malaria. Boils and wounds, when applied to the skin. Other conditions."
American Elder,Insufficient Evidence for,Asthma. Bronchitis. Bruises. Cancer. Intestinal gas. Constipation. Colds. Water retention (edema). Epilepsy. Fever. Gout. Headache. Nerve problems. Other conditions.
American Ginseng,Possibly Effective for,"Upper airway infection. Taking a specific American ginseng extract called CVT-E002 (Cold-FX, Afexa Life Sciences) by mouth during flu season might prevent cold or flu symptoms in some adults."
American Hellebore,,
American Ivy,Insufficient Evidence for,Digestion problems. Causing sweating. Use as a drying agent (astringent). Use as a tonic. Other conditions.
American Mistletoe,Insufficient Evidence for,Constipation. Delayed emptying of food from the stomach into the intestines (gastroparesis). Ending a pregnancy (abortion). Low blood pressure. Other conditions.
American Pawpaw,Insufficient Evidence for,Lice. Cancer. Fever. Swelling of the mouth and throat. Vomiting. Other conditions.
American Spikenard,,
American White Water Lily,Insufficient Evidence for,Diarrhea. Vaginal conditions. Diseases of the throat and mouth. Burns and boils. Other conditions.
Andarine,Insufficient Evidence for,Age-related muscle loss (sarcopenia). Athletic performance. Enlarged prostate (benign prostatic hyperplasia or BPH). Involuntary weight loss in people who are very ill (cachexia or wasting syndrome). Osteoporosis. Prostate cancer. Other conditions.
Andiroba,,
Andrographis,Possibly Effective for,"Common cold. Taking andrographis by mouth, alone or as part of an herbal combination product, seems to improve cough and sore throat in some people with the common cold. It's not clear if andrographis helps to prevent colds. Osteoarthritis. Taking andrographis extract by mouth daily seems to reduce pain and stiffness in people with mild or moderate osteoarthritis in the knee. Infection of the throat and tonsils (tonsillopharyngitis). Taking andrographis by mouth daily works about as well as acetaminophen (Tylenol) to reduce fever and pain from tonsillitis. A type of inflammatory bowel disease (ulcerative colitis). Taking andrographis extract by mouth daily for 8 weeks reduces symptoms of ulcerative colitis about as well as the drug mesalamine."
Androstenediol,Possibly Ineffective for,Athletic performance. Androstenediol does not seem to help increase muscle size or strength when taken by mouth for 12 weeks in connection with resistance training.
Androstenediol,Insufficient Evidence for,Increasing energy. Improving body recovery and growth from exercise. Heightening sexual arousal and performance. Increasing a sense of well-being. Other conditions.
Androstenedione,Likely InEffective for,Muscle strength. Taking androstenedione by mouth while resistance training does not seem to improve muscle strength or size in healthy males.
Androstenetrione,Insufficient Evidence for,Improving athletic performance. Other conditions.
Androsterone,,
Angel'S Trumpet,Insufficient Evidence for,Asthma. Causing euphoria and hallucinations. Other conditions.
Angelica Archangelica,,
Angostura,Insufficient Evidence for,Fever. Diarrhea. Spasms. Causing vomiting. Emptying the bowels. Preventing return of malaria. Other conditions.
Anhydrous Crystalline Maltose,Insufficient Evidence for,An autoimmune disorder in which the glands that produce tears and saliva are damaged (Sjogren syndrome). Early research suggests that dissolving lozenges of anhydrous crystalline maltose in the mouth three times daily for up to 24 weeks improves saliva output in people with Sjogren syndrome. Dry mouth due to prescription medicines. Other conditions.
Anise,,
Annatto,Insufficient Evidence for,Enlarged prostate (benign prostatic hyperplasia or BPH). Early research shows that taking annatto daily for 12 months does not improve symptoms of BPH. Diarrhea. Constipation. Fever. Diabetes. Fevers. Fluid retention. Heartburn. Malaria. Hepatitis. Burns. Vaginal infections. As an insect repellent. Other conditions.
Antineoplastons,Insufficient Evidence for,"Brain tumor. Early research shows that using antineoplastons along with standard medications after radiation and surgery might help reduce the size of brain tumors in some people. Other early research shows that injecting antineoplastons intravenously (by IV) might help reduce the size of a specific type of brain tumor, called a glioma, in some adults and children. But other research shows that antineoplastons don't reduce tumor size in people with gliomas. All of the research to date is low-quality. Colon cancer. Early research shows that injecting antineoplastons intravenously (by IV) and then taking them by mouth might help people with colon cancer to live longer after having a part of their liver removed. A rare tumor that affects the central nervous system (primitive neuroectodermal tumor or PNET). Injecting antineoplastons intravenously (by IV) might help reduce the size of PNETs or keep PNETs from becoming larger in some children with PNET. However, the research to date is low-quality. Prostate cancer. Injecting antineoplastons along with the drug diethylstilbestrol might increase the chance of remission in people with prostate cancer. However, the research to date is low-quality. Breast cancer. Liver cancer. Lung cancer. High cholesterol. Brain swelling due to infection (encephalitis). HIV/AIDS. Parkinson disease. Sickle cell anemia. An inherited blood disorder called thalassemia. Other conditions."
Antioxidants,Possibly Ineffective for,"Bladder cancer. Taking antioxidant supplements by mouth doesn't seem to reduce the risk of bladder cancer. Cancer. Taking antioxidant supplements by mouth doesn't seem to prevent cancer or reduce the risk of death from cancer. Cataracts. Taking antioxidant supplements by mouth doesn't seem reduce the risk of cataracts or of needing cataract surgery. Colon cancer, rectal cancer. Taking antioxidants doesn't seem to reduce the risk of colon or rectal cancer. Heart disease. Taking antioxidant supplements by mouth doesn't seem to reduce the risk of heart attack, stroke, or death in people with heart disease. Nonmelanoma skin cancer. Taking antioxidants supplements by mouth doesn't seem to reduce the risk of nonmelanoma skin cancer. Prostate cancer. Taking antioxidant supplements by mouth doesn't seem to reduce the risk of prostate cancer."
Apoaequorin,,
Apple,,
Apple Cider Vinegar,,
Apple Polyphenols,Insufficient Evidence for,"Male-pattern baldness (androgenic alopecia). Early research shows that applying an apple polyphenol product to the scalp can increase hair growth in some men with male-pattern baldness. Hay fever. Early research shows that drinking a drink with apple polyphenols reduces runny nose in people with hay fever. Other early research shows that taking apple polyphenol once daily for 12 weeks, starting about 2 weeks before cedar pollen season, can reduce sneezing in patients with a specific form of hay fever called Japanese cedar pollinosis. Athletic performance. Early research shows that taking apple and grape polyphenols can allow athletes to exercise for a little bit longer before getting tired. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Early research shows that eating apples with more polyphenols does not affect cholesterol levels compared to eating apples with low polyphenols. But not all research agrees. High blood pressure. Early research shows that taking apple polyphenols does not seem to improve blood pressure in people with high blood pressure. Obesity. Early research shows that drinking a beverage with apple polyphenols can reduce the amount of body fat in adults who are overweight or obese."
Apricot,,
Apricot Kernel,Possibly Ineffective for,"Cancer. Taking apricot kernel or amygdalin, a chemical in apricot kernel, by mouth doesn't seem to help treat cancer. It can also cause cyanide toxicity."
Arabinoxylan,Insufficient Evidence for,"Diabetes. Early research shows that eating food fortified with arabinoxylan for 5 weeks lowers blood sugar levels and insulin levels in people with type 2 diabetes. It also seems to improve blood sugar control. Prediabetes. Early research shows that eating food fortified with arabinoxylan for 6 weeks lowers blood sugar levels and levels of a bloodfat called triglycerides. A grouping of symptoms that increase the risk of diabetes, heart disease, and stroke (metabolic syndrome). Early research shows that eating a diet containing arabinoxylan does not seem to improve blood sugar or cholesterol levels in most people with metabolic syndrome. Heart disease. Constipation. Weight loss. Other conditions."
Arenaria Rubra,Insufficient Evidence for,"Kidney stones. Infections of the kidney, bladder, or urethra (urinary tract infections or UTIs). Other conditions."
Arimistane - [Fast Facts],,
Aristolochia,Insufficient Evidence for,Absence of menstrual periods (amenorrhea). Achy joints (rheumatism). Arthritis. Boosting the body's defense system (immune system). Excessive crying in infants (colic). Eczema (atopic dermatitis). Gallbladder pain. Gout. Increasing response to sexual stimuli in healthy people. Obesity. Seizures. Wounds. Other conditions.
Arnica,Possibly Effective for,
Arrach,Insufficient Evidence for,Menstrual cramps (dysmenorrhea). Starting menstrual flow. Other conditions.
Arrowroot,Insufficient Evidence for,"A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS). Early research suggests that taking powdered arrowroot with meals for one month reduces stomach pain and diarrhea in people with IBS. Diarrhea. Soothing mucous membranes, such as the mouth and gum linings. Other conditions."
Arsenic,Effective for,"Cancer of the white blood cells (leukemia). A specific, prescription-only form of arsenic (arsenic trioxide, Trisenox) is given by IV for the treatment of a specific cancer of the white blood cells known as acute promyelocytic leukemia. This product can only be given by a healthcare provider."
Artemisia Herba-Alba,,
Artichoke,Possibly Effective for,"Indigestion (dyspepsia). Taking artichoke extract by mouth can reduce symptoms of indigestion, including nausea, vomiting, gas, and stomach pain. It seems to take 2 to 8 weeks of treatment to see these benefits. High levels of cholesterol and other fats (lipids) in the blood (hyperlipidemia). Taking artichoke extract by mouth can slightly reduce total and low-density lipoprotein (LDL or ""bad"") cholesterol in people with high cholesterol. It seems to take 6 to 12 weeks of treatment to see these benefits."
Arum,,
Asafoetida,Insufficient Evidence for,Asthma. Bronchitis. Convulsions. Corns and calluses. Hysteria. Intestinal gas. Irritable colon. Menstrual problems. Nerve disorders. Stomach upset. Other conditions.
Asarabacca,Insufficient Evidence for,Asthma. Chest pain (angina). Cough. Pneumonia. Migraine headaches. Dehydration. Liver diseases. Bronchitis. Causing vomiting. Starting the menstrual period. Other conditions.
Ascophyllum Nodosum,,
Ascorbigen,,
Ash,Insufficient Evidence for,Obesity. Taking ash extract doesn't seem to boost weight loss or improve blood sugar control in people who are already dieting. But it might help reduce fat by a small amount. Fever. Arthritis. Bladder problems. Constipation. Increasing urine production to relieve water retention (as a diuretic). Other conditions.
Ashitaba,Insufficient Evidence for,Liver disease in people who drink alcohol. Early research shows that taking ashitaba extract twice daily for 12 weeks doesn't improve fatigue or liver function in people who drink alcohol and have early signs of liver disease. Breast-feeding. Cancer. Constipation. Gout. Hay fever. High blood pressure. High levels of cholesterol or other fats (lipids) in the blood (hyperlipidemia). Persistent heartburn. Stomach ulcers. Other conditions.
Ashwagandha,Possibly Effective for,Anxiety. Taking ashwagandha by mouth might reduce anxiety. A type of persistent anxiety marked by exaggerated worry and tension (generalized anxiety disorder or GAD). Taking ashwagandha by mouth seems to improve anxiety in people with persistent anxiety. Insomnia. Taking ashwagandha by mouth seems to improve overall sleep and sleep quality in some people. Stress. Taking ashwagandha by mouth seems to help reduce stress in some people. It might also help reduce stress-related weight gain.
Asian Water Plantain,Insufficient Evidence for,Bladder and urinary tract diseases. Diabetes. Diarrhea. Dizziness. High blood pressure. High cholesterol. Liver disease. Other conditions.
Asparagus,,
Asparagus Racemosus,,
Aspartic Acid,,
Aspen,Insufficient Evidence for,"Nerve pain. Rheumatoid arthritis (RA). Swelling (inflammation) of the prostate due to infection. Pain due to pressure on the sciatic nerve (sciatica). Infections of the kidney, bladder or urethra (urinary tract infections or UTIs). Other conditions."
Astaxanthin,,
Astragalus,Possibly Effective for,"Reducing side effects of chemotherapy. Early research suggests that giving astragalus intravenously (by IV) or using Chinese herbal mixtures containing astragalus might reduce nausea, vomiting, diarrhea, and bone marrow suppression (a decrease in the cells that provide immunity) that is associated with chemotherapy treatments. Diabetes. Early research suggests that astragalus, given intravenously (by IV) or taken by mouth as a combination product, might help control blood sugar and insulin levels in people with type 2 diabetes."
Atlantic Cedar,Insufficient Evidence for,Patchy hair loss (alopecia areata). Insect repellent. Other conditions.
Atractylodes,,
Autumn Crocus,Insufficient Evidence for,An inherited fever disorder (familial Mediterranean fever). Gout. Rheumatoid Arthritis (RA). Other conditions.
Avens,Insufficient Evidence for,A mild form of gum disease (gingivitis). A type of inflammatory bowel disease (ulcerative colitis). Abnormally heavy bleeding during menstrual periods (menorrhagia). Diarrhea. Fever. Gas (flatulence). Gout. Hemorrhoids. Indigestion (dyspepsia). Muscle soreness. Nerve pain. Rheumatoid arthritis (RA). Other conditions.
Avocado,Possibly Effective for,"High cholesterol. Eating an avocado-rich diet seems to lower total cholesterol and low-density lipoprotein (LDL or ""bad"") cholesterol. It also seems to increase high-density lipoprotein (HDL or ""good"") cholesterol."
Avocado Soy Unsaponifiables (Asu),Possibly Effective for,"Osteoarthritis. Taking avocado soy unsaponifiables by mouth, short-term, seems to reduce pain and improve function in people with osteoarthritis in the hip or knee. When used long-term, it might help slow down how quickly this condition worsens."
Avocado Sugar Extract,Insufficient Evidence for,Weight loss. Other conditions.
Ayahuasca,,
Ba Ji Tian,Possibly Effective for,Depression. Some research shows that taking combination products containing extracts of ba ji tian can reduce symptoms of depression in some people.
Babassu,Insufficient Evidence for,"Cancer. Constipation. Swelling (inflammation) of the stomach (gastritis). Obesity. Pain. Rheumatoid arthritis (RA). Infections of the kidney, bladder, or urethra (urinary tract infections or UTIs). Poor circulation that can lead to varicose veins and other conditions (venous insufficiency). Wound healing. Other conditions."
Bach Flower Remedies,Possibly Ineffective for,Anxiety. Taking Bach flower remedies doesn't seem to reduce anxiety.
Bacillus Coagulans,Possibly Effective for,Constipation. Taking B. coagulans by mouth seems to help relieve constipation. A long-term disorder of the large intestines that causes stomach pain (irritable bowel syndrome or IBS). Taking B. coagulans by mouth seems to help relieve symptoms of IBS.
